,timestamp,packet_length,four_tuple
8640,1740992192.848958868,62,6642947841170015373
8641,1740992192.848985873,56,83992098632958487
8642,1740992193.070492220,56,-1687023734949921032
8643,1740992193.070817503,62,-1523705329075525668
8644,1740992193.582534703,56,7782700592788545273
8645,1740992193.582686100,56,173121413394640212
8646,1740992193.582703872,56,3455300924073504613
8647,1740992193.582854863,62,-2173819700069228555
8648,1740992193.582855100,62,1185304877050873289
8649,1740992193.582855133,62,-2817980333344009213
8650,1740992193.646457580,56,157114784934618691
8651,1740992193.646624740,62,696258798913580128
8652,1740992194.606680339,56,-790678707081151905
8653,1740992194.606871638,56,-655157661076812973
8654,1740992194.606946490,62,1265702841700647530
8655,1740992194.607020295,62,-6289717926855261075
8656,1740992194.962812055,187,-3061772637988331940
8657,1740992194.963313919,62,-8617121821710749634
8658,1740992194.963528576,965,-3061772637988331940
8659,1740992194.963799218,62,-8617121821710749634
8660,1740992194.964951277,1087,7913549843078753958
8661,1740992194.965370732,62,2204066085779568804
8662,1740992195.235312724,104,-8617121821710749634
8663,1740992195.235338404,56,-3061772637988331940
8664,1740992195.246017313,536,-8617121821710749634
8665,1740992195.246041200,56,-3061772637988331940
8666,1740992195.397483574,4364,2204066085779568804
8667,1740992195.397505819,56,7913549843078753958
8668,1740992195.397568355,5800,2204066085779568804
8669,1740992195.397570864,56,7913549843078753958
8670,1740992195.398429164,3924,2204066085779568804
8671,1740992195.398441175,56,7913549843078753958
8672,1740992195.398612540,4615,2204066085779568804
8673,1740992195.398619359,56,7913549843078753958
8674,1740992195.399675070,87,2204066085779568804
8675,1740992195.408563569,388,-2654268323820219579
8676,1740992195.409048132,62,6257432895151109665
8677,1740992195.416667930,206,-2654268323820219579
8678,1740992195.416926076,62,6257432895151109665
8679,1740992195.421875984,204,8073980214501698185
8680,1740992195.422123852,62,59413444695554920
8681,1740992195.422857203,91,8073980214501698185
8682,1740992195.423024278,62,59413444695554920
8683,1740992195.440369263,56,7913549843078753958
8684,1740992195.453520304,5015,6257432895151109665
8685,1740992195.453552087,56,-2654268323820219579
8686,1740992195.455112564,1707,6257432895151109665
8687,1740992195.455127452,56,-2654268323820219579
8688,1740992195.464088658,4382,59413444695554920
8689,1740992195.464109346,56,8073980214501698185
8690,1740992195.495831168,203,6257432895151109665
8691,1740992195.536371796,56,-2654268323820219579
8692,1740992196.028143697,187,-3061772637988331940
8693,1740992196.028262671,1013,-3061772637988331940
8694,1740992196.028562707,62,-8617121821710749634
8695,1740992196.028562867,62,-8617121821710749634
8696,1740992196.030747227,812,7913549843078753958
8697,1740992196.031076481,62,2204066085779568804
8698,1740992196.300606578,104,-8617121821710749634
8699,1740992196.300643595,56,-3061772637988331940
8700,1740992196.302910239,536,-8617121821710749634
8701,1740992196.302932417,56,-3061772637988331940
8702,1740992196.658688850,8672,2204066085779568804
8703,1740992196.658712803,56,7913549843078753958
8704,1740992196.661297085,22712,2204066085779568804
8705,1740992196.661314689,56,7913549843078753958
8706,1740992196.663577801,12980,2204066085779568804
8707,1740992196.663600265,56,7913549843078753958
8708,1740992196.666505832,2265,2204066085779568804
8709,1740992196.666524686,56,7913549843078753958
8710,1740992196.699533156,700,7913549843078753958
8711,1740992196.699885730,62,2204066085779568804
8712,1740992196.704498265,76,-1669291381382447303
8713,1740992196.704686609,76,4420198836919358771
8714,1740992196.748960392,62,-4037531394644741653
8715,1740992196.749010152,56,4420198836919358771
8716,1740992196.749594373,1964,4420198836919358771
8717,1740992196.749772912,62,-4037531394644741653
8718,1740992196.749772957,62,-4037531394644741653
8719,1740992196.768017676,62,-8657383211560023784
8720,1740992196.768073008,56,-1669291381382447303
8721,1740992196.768551277,1970,-1669291381382447303
8722,1740992196.768866577,62,-8657383211560023784
8723,1740992196.768866609,62,-8657383211560023784
8724,1740992196.838586730,2968,-4037531394644741653
8725,1740992196.838612274,56,4420198836919358771
8726,1740992196.842375162,2976,-4037531394644741653
8727,1740992196.842376162,62,-4037531394644741653
8728,1740992196.842429581,56,4420198836919358771
8729,1740992196.842459870,56,4420198836919358771
8730,1740992196.843511196,120,4420198836919358771
